"filename", "language", "C#", "XML", "JSON", "Ini", "comment", "blank", "total"
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.Pdf.v20.1.Drawing.xml", "XML", 0, 1153, 0, 0, 0, 0, 1153
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.Printing.v20.1.Core.xml", "XML", 0, 26513, 0, 0, 0, 0, 26513
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.RichEdit.v20.1.Core.xml", "XML", 0, 37803, 0, 0, 0, 0, 37803
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.Sparkline.v20.1.Core.xml", "XML", 0, 499, 0, 0, 0, 0, 499
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.Utils.v20.1.xml", "XML", 0, 17859, 0, 0, 0, 0, 17859
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.XtraBars.v20.1.xml", "XML", 0, 35995, 0, 0, 0, 0, 35995
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.XtraEditors.v20.1.xml", "XML", 0, 36493, 0, 0, 0, 0, 36493
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.XtraGauges.v20.1.Core.xml", "XML", 0, 2986, 0, 0, 0, 0, 2986
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.XtraGauges.v20.1.Win.xml", "XML", 0, 1936, 0, 0, 0, 0, 1936
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.XtraGrid.v20.1.xml", "XML", 0, 23191, 0, 0, 0, 0, 23191
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.XtraLayout.v20.1.xml", "XML", 0, 5817, 0, 0, 0, 1, 5818
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.XtraPrinting.v20.1.xml", "XML", 0, 2874, 0, 0, 0, 0, 2874
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.XtraTreeList.v20.1.xml", "XML", 0, 10449, 0, 0, 0, 0, 10449
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\OxyPlot.WindowsForms.xml", "XML", 0, 796, 0, 0, 0, 1, 797
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\OxyPlot.xml", "XML", 0, 22404, 0, 0, 0, 1, 22405
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Release\Cfg\sensor.ini", "Ini", 0, 0, 0, 66, 0, 8, 74
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Release\OxyPlot.WindowsForms.xml", "XML", 0, 796, 0, 0, 0, 1, 797
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Release\OxyPlot.xml", "XML", 0, 22404, 0, 0, 0, 1, 22405
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\obj\Debug\.NETFramework,Version=v4.6.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\obj\Debug\.NETFramework,Version=v4.6.2.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\obj\Debug\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\obj\Debug\MarineControl.HMS.TrustInfo.xml", "XML", 0, 2, 0, 0, 9, 0, 11
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\obj\Release\.NETFramework,Version=v4.6.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\obj\Release\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\obj\Release\MarineControl.HMS.TrustInfo.xml", "XML", 0, 2, 0, 0, 9, 0, 11
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\obj\x64\Debug\.NETFramework,Version=v4.6.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\obj\x64\Debug\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\obj\x64\Debug\MarineControl.HMS.TrustInfo.xml", "XML", 0, 2, 0, 0, 9, 0, 11
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\obj\x64\Release\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\obj\x64\Release\MarineControl.HMS.TrustInfo.xml", "XML", 0, 2, 0, 0, 9, 0, 11
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\publish\Application Files\Cfg\sensor.ini", "Ini", 0, 0, 0, 50, 0, 5, 55
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\传感器\Sensor.cs", "C#", 202, 0, 0, 0, 54, 34, 290
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\传感器\SensorForm.Designer.cs", "C#", 823, 0, 0, 0, 131, 5, 959
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\传感器\SensorForm.cs", "C#", 263, 0, 0, 0, 80, 55, 398
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\其他(CPU RAM)\GetSysPerformace.cs", "C#", 39, 0, 0, 0, 10, 17, 66
"e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\其他(CPU RAM)\GetTime.cs", "C#", 37, 0, 0, 0, 9, 12, 58
