Date : 2021-10-07 08:24:17
Directory : e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS
Total : 234 files,  425681 codes, 4612 comments, 2044 blanks, all 432337 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| XML      |         71 |    408,766 |         37 |         32 |    408,835 |
| C#       |        157 |     16,628 |      4,575 |      1,991 |     23,194 |
| Ini      |          3 |        194 |          0 |         21 |        215 |
| JSON     |          3 |         93 |          0 |          0 |         93 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\LiteNetLib.0.9.4\lib\netcoreapp3.0\LiteNetLib.deps.json                                                    | JSON     |         23 |          0 |          0 |         23 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\LiteNetLib.0.9.4\lib\netcoreapp3.0\LiteNetLib.xml                                                          | XML      |      1,359 |          0 |          1 |      1,360 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\LiteNetLib.0.9.4\lib\netstandard2.0\LiteNetLib.deps.json                                                   | JSON     |         47 |          0 |          0 |         47 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\LiteNetLib.0.9.4\lib\netstandard2.0\LiteNetLib.xml                                                         | XML      |        754 |          0 |          1 |        755 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\OxyPlot.Core.2.0.0\lib\net45\OxyPlot.xml                                                                   | XML      |     22,404 |          0 |          1 |     22,405 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\OxyPlot.Core.2.0.0\lib\netstandard1.0\OxyPlot.xml                                                          | XML      |     22,404 |          0 |          1 |     22,405 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\OxyPlot.WindowsForms.2.0.0\lib\net45\OxyPlot.WindowsForms.xml                                              | XML      |        796 |          0 |          1 |        797 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\OxyPlot.WindowsForms.2.0.0\lib\netcoreapp3.0\OxyPlot.WindowsForms.xml                                      | XML      |        796 |          0 |          1 |        797 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\SQLitePCLRaw.lib.e_sqlite3.2.0.3\build\net461\SQLitePCLRaw.lib.e_sqlite3.targets                           | XML      |         59 |          1 |          0 |         60 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\packages\System.Buffers.4.4.0\lib\netstandard1.1\System.Buffers.xml                                                 | XML      |         39 |          0 |          0 |         39 |
