"filename", "language", "XML", "C#", "JSON", "Ini", "comment", "blank", "total"
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\System.Runtime.CompilerServices.Unsafe.xml", "XML", 256, 0, 0, 0, 0, 2, 258
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\System.Text.Encodings.Web.xml", "XML", 932, 0, 0, 0, 0, 4, 936
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\System.Text.Json.xml", "XML", 2551, 0, 0, 0, 0, 110, 2661
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\System.Threading.Tasks.Extensions.xml", "XML", 165, 0, 0, 0, 0, 1, 166
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Release\System.ValueTuple.xml", "XML", 8, 0, 0, 0, 0, 1, 9
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\obj\Debug\.NETFramework,Version=v4.6.1.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\obj\Debug\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\obj\Debug\App.g.cs", "C#", 0, 53, 0, 0, 18, 14, 85
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\obj\Debug\App.g.i.cs", "C#", 0, 53, 0, 0, 18, 14, 85
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\obj\Debug\GeneratedInternalTypeHelper.g.cs", "C#", 0, 27, 0, 0, 26, 10, 63
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\obj\Debug\GeneratedInternalTypeHelper.g.i.cs", "C#", 0, 27, 0, 0, 26, 10, 63
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\obj\Debug\MainWindow.g.i.cs", "C#", 0, 49, 0, 0, 15, 12, 76
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\obj\Debug\ViewsOther\CheckValueView.g.i.cs", "C#", 0, 122, 0, 0, 15, 33, 170
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\obj\Debug\ViewsOther\ConstantChangeChartTimeView.g.i.cs", "C#", 0, 50, 0, 0, 15, 12, 77
